,n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr,fkgl,fkre,a_kup_ps,a_kup_pw,t_bry
41,2,8,3,5,1,5,0,12,3,1,9,3,7,0,2,5,4,2,6,3,2,1,2,0,10,3,1,7,3,4,0,1,5,2,15.75,50.119,4.543,4.038,94.163,62.862,3.991,200.476
42,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
44,6,15,9,8,7,9,0,30,6,10,13,2,15,2,2,20,6,6,10,8,4,3,4,0,19,4,3,5,2,5,2,1,15,3,17.875,68.823,5.322,6.895,77.469,81.09,4.537,550.582
45,2,1,2,5,1,2,1,9,0,0,8,0,5,2,0,6,1,2,1,2,4,1,1,1,7,0,0,6,0,4,2,0,6,1,13.333,46.526,4.249,7.015,68.517,62.13,4.66,139.579
46,18,21,24,14,8,21,1,33,2,9,33,0,22,7,0,28,0,17,11,19,4,2,7,1,30,1,2,9,0,6,2,0,23,0,21.9,90.276,6.068,8.846,70.648,102.532,4.682,902.759
47,0,0,0,0,0,1,0,5,0,0,3,0,5,0,0,2,3,0,0,0,0,0,1,0,5,0,0,3,0,3,0,0,2,2,4.667,18.259,3.213,0.559,99.37,19.87,4.258,54.778
48,1,0,0,0,0,1,0,3,0,1,0,0,2,1,0,2,0,1,0,0,0,0,1,0,3,0,1,0,0,2,1,0,2,0,9.0,39.202,2.593,2.342,94.3,45.55,5.061,39.202
49,5,6,1,2,1,4,0,8,0,1,8,0,7,1,2,8,1,5,4,1,2,1,2,0,8,0,1,6,0,4,1,1,8,1,15.333,69.326,4.379,6.551,75.406,71.767,4.68,207.979
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
51,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
52,0,4,2,5,1,4,0,8,0,1,9,1,4,1,1,7,0,0,4,2,3,1,3,0,5,0,1,4,1,4,1,1,4,0,22.5,94.635,3.373,7.345,82.478,102.53,4.557,189.27
53,22,20,8,6,5,9,0,41,2,3,7,2,20,2,3,10,1,20,11,7,2,4,5,0,35,2,2,4,2,4,2,1,10,1,34.25,138.114,6.645,18.095,26.337,187.768,5.482,552.454
54,20,17,13,19,12,18,1,36,0,6,36,3,33,6,0,28,6,18,10,11,6,4,5,1,30,0,2,19,3,10,4,0,26,4,15.714,64.785,6.913,6.576,75.906,74.048,4.712,906.995
55,8,19,9,14,4,14,0,21,0,4,27,0,16,6,0,24,0,6,10,9,7,2,5,0,16,0,2,8,0,6,3,0,16,0,18.75,79.574,4.792,5.961,85.72,91.436,4.877,636.59
56,12,31,19,35,12,18,0,48,3,12,49,0,41,9,1,36,3,12,14,12,7,3,4,0,39,3,2,12,0,6,3,1,32,1,19.133,76.998,5.927,6.18,84.833,92.791,4.85,1154.967
57,5,3,2,3,2,4,1,11,0,0,2,1,11,0,1,5,3,5,3,2,2,2,4,1,8,0,0,2,1,5,0,1,4,2,41.0,144.009,4.638,21.41,14.591,181.19,4.419,144.009
58,9,19,4,8,5,14,1,26,1,4,10,0,13,1,0,16,3,9,9,3,4,2,5,1,22,1,2,7,0,4,1,0,14,2,17.286,76.249,5.335,9.875,55.049,85.766,4.962,533.74
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
61,5,6,2,5,4,5,0,7,0,3,7,4,9,0,0,8,0,5,5,2,4,3,3,0,7,0,2,5,4,3,0,0,7,0,19.0,75.817,4.683,5.897,86.624,81.897,4.31,227.452
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
64,2,1,2,5,2,1,0,5,0,0,4,2,7,1,2,6,0,2,1,2,3,2,1,0,4,0,0,3,2,4,1,1,6,0,15.5,59.927,3.937,6.442,76.483,72.95,4.706,119.853
65,1,5,1,3,1,1,0,3,0,3,9,0,3,3,0,9,0,1,4,1,2,1,1,0,2,0,2,4,0,3,2,0,7,0,19.5,86.795,3.284,5.933,87.258,94.255,4.834,173.589
66,1,2,2,3,1,1,0,2,0,0,8,0,4,2,0,4,0,1,2,2,2,1,1,0,2,0,0,4,0,2,2,0,3,0,13.0,58.815,2.774,6.726,69.994,67.19,5.168,117.631
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
68,4,11,9,10,4,7,0,20,0,4,20,3,13,1,0,20,0,4,8,9,4,3,3,0,16,0,2,8,2,3,1,0,16,0,22.6,90.323,4.856,11.498,52.878,114.964,5.087,451.614
69,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
73,5,14,4,7,2,11,0,23,2,7,13,5,14,2,0,13,0,5,9,4,3,2,4,0,17,2,2,7,5,8,2,0,9,0,26.75,106.632,5.127,10.392,68.202,127.893,4.781,426.526
74,23,47,17,17,5,25,0,69,3,9,39,5,37,4,0,33,10,20,13,15,5,3,6,0,53,2,2,10,4,8,4,0,28,1,18.0,75.043,6.629,7.048,76.594,87.109,4.839,1275.737
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
76,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
78,7,15,6,11,4,11,0,22,2,4,28,1,15,3,0,22,1,6,11,5,4,2,3,0,17,1,1,8,1,7,3,0,16,1,13.7,55.821,5.014,4.309,88.569,69.188,5.05,558.21
79,3,15,6,6,6,3,0,14,3,1,20,0,5,5,0,10,0,3,6,5,3,3,3,0,8,2,1,9,0,4,3,0,8,0,46.0,198.881,4.128,17.485,51.636,221.115,4.807,397.762
80,47,61,62,63,33,33,1,102,2,30,133,4,66,26,0,106,10,38,18,35,8,3,10,1,76,1,2,23,4,11,10,0,57,2,17.0,67.509,7.515,6.311,80.098,81.737,4.808,2835.373
81,11,21,18,14,6,13,2,33,2,13,29,3,31,4,1,30,4,9,10,14,5,3,5,2,25,1,3,9,3,7,2,1,19,1,18.364,71.386,5.771,7.87,71.347,82.985,4.519,785.245
82,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
83,11,14,6,10,6,9,1,22,0,4,21,3,14,4,2,17,0,11,8,6,3,3,5,1,22,0,2,9,3,5,3,1,14,0,25.6,100.569,5.812,9.328,73.779,112.254,4.385,502.847
84,28,40,32,29,15,19,3,46,0,13,57,2,43,16,1,51,3,24,19,28,5,3,7,2,28,0,2,14,2,9,7,1,38,1,22.062,90.444,6.774,9.294,67.727,105.696,4.791,1447.106
85,17,17,10,15,11,11,1,37,0,10,20,13,24,6,1,23,1,15,6,7,5,4,5,1,29,0,2,5,9,6,4,1,15,1,12.733,51.506,5.73,4.759,83.621,64.445,5.061,772.593
86,3,5,1,4,3,3,0,11,0,4,8,0,7,2,1,12,0,3,4,1,3,3,1,0,8,0,2,4,0,3,2,1,9,0,14.0,58.971,3.969,5.041,83.854,66.2,4.729,235.884
87,8,11,13,7,4,3,1,13,1,2,13,1,14,2,0,10,0,7,7,12,3,1,1,1,13,1,2,4,1,5,2,0,10,0,11.125,42.302,5.097,4.394,83.377,50.72,4.559,338.413
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
89,2,2,0,0,0,2,0,7,0,2,2,1,1,2,0,6,1,2,1,0,0,0,2,0,5,0,1,1,1,1,1,0,5,1,28.0,108.083,2.94,10.501,69.644,148.93,5.319,108.083
90,3,3,3,3,1,4,1,5,1,1,3,1,5,0,0,5,0,3,3,3,2,1,3,1,5,1,1,3,1,2,0,0,5,0,6.8,25.223,4.002,2.68,87.962,32.606,4.795,126.114
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
92,14,27,16,19,10,15,0,63,4,4,22,7,52,4,3,24,7,13,8,13,4,3,4,0,51,4,1,9,6,11,3,2,18,1,17.0,71.696,6.738,7.401,72.277,85.929,5.055,1003.743
93,2,1,2,0,1,2,0,6,0,1,1,2,2,0,0,4,1,2,1,2,0,1,2,0,6,0,1,1,2,2,0,0,3,1,23.0,75.694,3.539,11.337,54.751,104.61,4.548,75.694
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
95,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
96,6,14,4,8,3,7,0,26,3,5,9,3,9,0,1,13,0,6,9,4,2,1,3,0,17,2,1,3,3,3,0,1,12,0,16.833,65.719,4.503,8.617,63.268,90.353,5.368,394.314
97,2,5,2,4,4,7,0,9,0,2,5,0,8,0,0,7,0,1,3,2,4,3,4,0,9,0,2,4,0,4,0,0,6,0,15.667,64.833,4.332,7.09,72.133,77.803,4.966,194.498
98,11,19,15,23,12,16,3,32,0,11,39,5,39,5,0,30,9,11,10,13,6,4,5,2,22,0,2,10,5,9,4,0,22,4,20.909,79.561,5.688,7.802,76.368,96.638,4.622,875.168
99,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
100,2,8,4,13,2,6,1,12,1,2,17,1,8,6,0,15,8,2,6,4,3,1,3,1,12,1,1,7,1,3,3,0,11,3,24.5,95.732,4.429,6.487,92.188,101.475,4.142,382.927
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
102,6,13,7,15,11,13,0,24,0,4,14,4,14,3,1,17,4,6,9,7,5,4,7,0,22,0,2,5,4,5,3,1,16,2,33.75,142.116,5.66,12.694,64.165,168.878,5.004,568.464
103,3,2,2,4,1,1,0,4,1,0,5,0,9,1,1,3,1,3,1,2,3,1,1,0,4,1,0,4,0,4,1,1,3,1,7.0,23.732,4.009,4.84,72.83,31.247,4.464,94.929
104,1,2,1,1,3,1,0,4,0,0,2,0,1,0,0,3,0,1,1,1,1,2,1,0,4,0,0,1,0,1,0,0,3,0,18.0,64.171,2.667,7.163,75.765,78.93,4.385,64.171
105,1,7,1,2,3,1,1,9,2,2,4,8,6,1,0,4,0,1,5,1,1,1,1,1,8,1,1,2,8,5,1,0,4,0,11.5,36.471,4.275,4.543,82.976,44.275,3.85,145.882
106,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
108,15,15,3,13,8,7,0,17,0,6,22,8,19,4,0,21,3,14,7,3,5,2,2,0,16,0,1,6,7,6,4,0,12,2,20.143,83.027,5.062,8.25,71.79,100.566,4.993,581.19
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
110,9,23,6,20,3,12,0,35,5,6,23,2,23,4,2,20,6,9,11,6,5,2,5,0,32,5,2,5,2,6,3,2,14,2,17.2,61.69,5.769,7.72,70.347,80.394,4.674,616.902
111,4,5,2,7,4,5,0,12,0,2,11,0,5,2,0,11,3,2,3,2,5,2,3,0,8,0,1,7,0,3,1,0,8,2,17.0,73.328,3.859,6.137,81.342,81.51,4.795,293.313
112,9,12,3,9,4,11,1,19,0,4,15,5,13,3,2,11,1,7,9,3,5,2,2,1,15,0,3,8,5,6,2,1,9,1,18.0,62.826,5.035,5.743,85.948,76.947,4.275,376.957
113,4,4,3,7,1,0,0,9,3,1,7,0,8,3,1,9,2,3,3,3,2,1,0,0,8,3,1,3,0,4,2,1,8,1,13.25,49.693,3.982,3.827,91.228,63.625,4.802,198.771
114,18,27,12,17,13,20,0,48,0,12,38,7,37,1,0,30,2,16,8,11,5,4,9,0,35,0,3,17,6,6,1,0,19,1,18.692,78.064,5.988,7.725,72.973,90.489,4.841,1014.838
115,11,18,5,12,9,3,0,28,4,5,14,35,26,4,0,17,5,11,9,4,4,3,3,0,21,4,2,3,28,5,3,0,13,3,14.25,39.021,6.218,6.253,75.613,54.874,3.851,468.251
116,9,13,7,11,4,10,1,20,7,4,14,9,22,4,1,17,5,8,9,6,4,3,4,1,16,6,3,8,9,9,3,1,15,4,19.0,63.844,6.561,6.015,85.776,73.754,3.882,446.908
117,15,19,11,24,10,15,0,36,1,11,41,3,21,5,0,32,11,14,10,10,7,3,5,0,29,1,3,12,3,6,5,0,24,3,29.375,109.744,5.904,10.629,71.179,128.981,4.391,877.951
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
119,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
120,3,0,1,1,0,2,0,1,0,1,1,1,2,0,0,2,0,3,0,1,1,0,2,0,1,0,1,1,1,1,0,0,2,0,6.5,23.345,2.746,7.822,50.561,26.9,4.138,46.689
121,1,6,3,3,1,0,0,2,2,1,4,2,5,0,0,4,0,1,5,3,2,1,0,0,2,2,1,4,2,3,0,0,4,0,9.667,38.26,3.939,2.014,97.837,38.887,4.023,114.781
122,9,10,13,9,5,12,0,21,0,3,25,1,13,4,0,18,0,9,5,10,3,3,5,0,18,0,2,8,1,3,4,0,17,0,14.444,55.401,5.271,6.563,73.734,71.956,4.982,498.61
123,6,12,9,10,1,13,0,29,2,4,10,2,13,4,0,14,5,6,11,8,6,1,3,0,20,2,1,5,2,5,3,0,11,1,17.286,71.65,5.464,6.95,76.024,83.937,4.856,501.547
124,15,12,9,16,11,12,1,26,0,8,38,4,14,7,0,31,0,15,7,7,5,2,5,1,18,0,2,8,4,3,4,0,27,0,17.273,63.401,5.335,5.927,83.331,75.763,4.386,697.41
125,30,60,64,70,32,52,10,110,6,39,146,10,64,21,1,127,8,27,15,30,9,3,15,4,77,6,3,20,9,10,8,1,60,1,15.7,59.72,6.991,3.505,97.893,69.288,4.413,2985.992
126,22,48,40,30,11,27,0,84,15,16,64,4,52,8,0,56,2,17,13,27,9,2,7,0,48,10,2,11,4,7,7,0,32,1,21.35,82.5,6.331,7.659,78.176,97.684,4.575,1649.998
127,9,9,9,12,6,10,0,16,0,2,12,3,16,6,0,16,2,9,6,9,5,4,4,0,14,0,1,4,3,7,4,0,12,1,18.667,74.488,5.479,8.126,70.053,80.578,4.317,446.931
128,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
129,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
130,16,30,28,28,11,18,0,37,2,8,51,3,32,9,0,45,4,15,14,20,6,4,5,0,34,1,2,11,3,4,5,0,30,1,18.188,69.412,6.218,6.304,82.261,82.701,4.547,1110.585
131,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98,7.78,7.78,12.0
